[2016-03-06 19:21:22,200: INFO/Worker-1] found 27 journals in search set
[2016-03-06 19:21:50,700: INFO/Worker-1] 394991857: finished strategy "journal"
[2016-03-06 19:21:50,704: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 19:21:50,704: INFO/Worker-1] 394991857: finished strategy "conference"
[2016-03-06 19:21:51,456: INFO/Worker-1] 1794030664 author: set 49 publications
[2016-03-06 19:22:19,374: INFO/Worker-1] found 1035 author in the search set
[2016-03-06 19:22:19,374: INFO/Worker-1] authors: 1035
[2016-03-06 20:05:42,547: INFO/Worker-1] 1794030664: finished strategy "author"
[2016-03-06 20:05:42,594: INFO/Worker-1] found 20 journals in search set
[2016-03-06 20:06:10,205: INFO/Worker-1] 1794030664: finished strategy "journal"
[2016-03-06 20:06:10,209: INFO/Worker-1] found 1 conferences in search set
[2016-03-06 20:06:10,295: INFO/Worker-1] 1794030664: finished strategy "conference"
[2016-03-06 20:06:10,500: INFO/Worker-1] 1829075699 author: set 10 publications
[2016-03-06 20:06:12,060: INFO/Worker-1] found 45 author in the search set
[2016-03-06 20:06:12,060: INFO/Worker-1] authors: 45
[2016-03-06 20:11:28,227: INFO/Worker-1] 1829075699: finished strategy "author"
[2016-03-06 20:11:28,249: INFO/Worker-1] found 9 journals in search set
[2016-03-06 20:11:33,385: INFO/Worker-1] 1829075699: finished strategy "journal"
[2016-03-06 20:11:33,388: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:11:33,388: INFO/Worker-1] 1829075699: finished strategy "conference"
[2016-03-06 20:11:33,622: INFO/Worker-1] 301054722 author: set 13 publications
[2016-03-06 20:11:34,153: INFO/Worker-1] found 15 author in the search set
[2016-03-06 20:11:34,153: INFO/Worker-1] authors: 15
[2016-03-06 20:11:52,936: INFO/Worker-1] 301054722: finished strategy "author"
[2016-03-06 20:11:52,969: INFO/Worker-1] found 7 journals in search set
[2016-03-06 20:11:57,422: INFO/Worker-1] 301054722: finished strategy "journal"
[2016-03-06 20:11:57,424: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:11:57,424: INFO/Worker-1] 301054722: finished strategy "conference"
[2016-03-06 20:11:57,664: INFO/Worker-1] 1832093937 author: set 10 publications
[2016-03-06 20:11:57,960: INFO/Worker-1] found 7 author in the search set
[2016-03-06 20:11:57,960: INFO/Worker-1] authors: 7
[2016-03-06 20:12:03,504: INFO/Worker-1] 1832093937: finished strategy "author"
[2016-03-06 20:12:03,524: INFO/Worker-1] found 5 journals in search set
[2016-03-06 20:12:12,318: INFO/Worker-1] 1832093937: finished strategy "journal"
[2016-03-06 20:12:12,320: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:12:12,320: INFO/Worker-1] 1832093937: finished strategy "conference"
[2016-03-06 20:12:13,627: INFO/Worker-1] 228921263 author: set 66 publications
[2016-03-06 20:12:15,830: INFO/Worker-1] found 48 author in the search set
[2016-03-06 20:12:15,830: INFO/Worker-1] authors: 48
[2016-03-06 20:12:25,062: INFO/Worker-1] 228921263: finished strategy "author"
[2016-03-06 20:12:25,084: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:12:25,084: INFO/Worker-1] 228921263: finished strategy "journal"
[2016-03-06 20:12:25,086: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:12:25,086: INFO/Worker-1] 228921263: finished strategy "conference"
[2016-03-06 20:12:25,361: INFO/Worker-1] 666452261 author: set 13 publications
[2016-03-06 20:12:25,847: INFO/Worker-1] found 8 author in the search set
[2016-03-06 20:12:25,847: INFO/Worker-1] authors: 8
[2016-03-06 20:12:26,461: INFO/Worker-1] 666452261: finished strategy "author"
[2016-03-06 20:12:26,480: INFO/Worker-1] found 0 journals in search set
[2016-03-06 20:12:26,481: INFO/Worker-1] 666452261: finished strategy "journal"
[2016-03-06 20:12:26,482: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:12:26,482: INFO/Worker-1] 666452261: finished strategy "conference"
[2016-03-06 20:12:26,683: INFO/Worker-1] 1871095470 author: set 10 publications
[2016-03-06 20:12:27,532: INFO/Worker-1] found 25 author in the search set
[2016-03-06 20:12:27,532: INFO/Worker-1] authors: 25
[2016-03-06 20:13:12,755: INFO/Worker-1] 1871095470: finished strategy "author"
[2016-03-06 20:13:12,772: INFO/Worker-1] found 3 journals in search set
[2016-03-06 20:13:17,877: INFO/Worker-1] 1871095470: finished strategy "journal"
[2016-03-06 20:13:17,880: INFO/Worker-1] found 0 conferences in search set
[2016-03-06 20:13:17,880: INFO/Worker-1] 1871095470: finished strategy "conference"
[2016-03-06 20:13:18,148: INFO/Worker-1] 1865575558 author: set 12 publications
[2016-03-06 20:13:19,480: INFO/Worker-1] found 36 author in the search set
[2016-03-06 20:13:19,480: INFO/Worker-1] authors: 36
