[2016-03-07 08:27:05,322: INFO/Worker-2] found 10 journals in search set
[2016-03-07 08:27:11,918: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:27:11,918: INFO/Worker-2] 1569767410: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:27:12,496: INFO/Worker-2] 1836952405 author: set 23 publications
[2016-03-07 08:27:13,310: INFO/Worker-2] found 90 author in the search set
[2016-03-07 08:27:13,310: INFO/Worker-2] authors: 90
[2016-03-07 08:29:36,940: INFO/Worker-2] 1836952405: finished strategy "author-ordered"
[2016-03-07 08:29:36,942: INFO/Worker-2] found 90 author in the search set
[2016-03-07 08:29:36,942: INFO/Worker-2] authors: 90
[2016-03-07 08:29:37,518: INFO/Worker-2] 1836952405: finished strategy "author-ordered-minyear"
[2016-03-07 08:29:37,519: INFO/Worker-2] found 8 journals in search set
[2016-03-07 08:29:42,264: INFO/Worker-2] 1836952405: finished strategy "journal-ordered"
[2016-03-07 08:29:42,266: INFO/Worker-2] found 8 journals in search set
[2016-03-07 08:29:44,313: INFO/Worker-2] 1836952405: finished strategy "journal-ordered-minyear"
[2016-03-07 08:29:44,314: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:29:44,314: INFO/Worker-2] 1836952405: finished strategy "conference-ordered"
[2016-03-07 08:29:44,315: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:29:44,315: INFO/Worker-2] 1836952405: finished strategy "conference-ordered-minyear"
[2016-03-07 08:29:44,317: INFO/Worker-2] found 90 author in the search set
[2016-03-07 08:29:44,317: INFO/Worker-2] authors: 90
[2016-03-07 08:29:44,931: INFO/Worker-2] authors: 8
[2016-03-07 08:30:06,878: INFO/Worker-2] found 9 journals in search set
[2016-03-07 08:30:09,007: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:30:09,008: INFO/Worker-2] 1836952405: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:30:09,401: INFO/Worker-2] 367862490 author: set 16 publications
[2016-03-07 08:30:09,846: INFO/Worker-2] found 40 author in the search set
[2016-03-07 08:30:09,846: INFO/Worker-2] authors: 40
[2016-03-07 08:30:48,895: INFO/Worker-2] 367862490: finished strategy "author-ordered"
[2016-03-07 08:30:48,897: INFO/Worker-2] found 40 author in the search set
[2016-03-07 08:30:48,897: INFO/Worker-2] authors: 40
[2016-03-07 08:30:49,138: INFO/Worker-2] 367862490: finished strategy "author-ordered-minyear"
[2016-03-07 08:30:49,139: INFO/Worker-2] found 9 journals in search set
[2016-03-07 08:30:53,099: INFO/Worker-2] 367862490: finished strategy "journal-ordered"
[2016-03-07 08:30:53,100: INFO/Worker-2] found 9 journals in search set
[2016-03-07 08:30:54,056: INFO/Worker-2] 367862490: finished strategy "journal-ordered-minyear"
[2016-03-07 08:30:54,071: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:30:54,071: INFO/Worker-2] 367862490: finished strategy "conference-ordered"
[2016-03-07 08:30:54,072: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:30:54,072: INFO/Worker-2] 367862490: finished strategy "conference-ordered-minyear"
[2016-03-07 08:30:54,073: INFO/Worker-2] found 40 author in the search set
[2016-03-07 08:30:54,073: INFO/Worker-2] authors: 40
[2016-03-07 08:30:54,747: INFO/Worker-2] authors: 93
[2016-03-07 08:31:55,712: INFO/Worker-2] found 16 journals in search set
[2016-03-07 08:31:57,692: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:31:57,692: INFO/Worker-2] 367862490: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:31:57,989: INFO/Worker-2] 1258432641 author: set 12 publications
[2016-03-07 08:31:58,483: INFO/Worker-2] found 42 author in the search set
[2016-03-07 08:31:58,483: INFO/Worker-2] authors: 42
[2016-03-07 08:35:09,122: INFO/Worker-2] 1258432641: finished strategy "author-ordered"
[2016-03-07 08:35:09,124: INFO/Worker-2] found 42 author in the search set
[2016-03-07 08:35:09,124: INFO/Worker-2] authors: 42
[2016-03-07 08:35:09,516: INFO/Worker-2] 1258432641: finished strategy "author-ordered-minyear"
[2016-03-07 08:35:09,517: INFO/Worker-2] found 10 journals in search set
[2016-03-07 08:35:15,185: INFO/Worker-2] 1258432641: finished strategy "journal-ordered"
[2016-03-07 08:35:15,187: INFO/Worker-2] found 10 journals in search set
[2016-03-07 08:35:16,320: INFO/Worker-2] 1258432641: finished strategy "journal-ordered-minyear"
[2016-03-07 08:35:16,321: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:35:16,321: INFO/Worker-2] 1258432641: finished strategy "conference-ordered"
[2016-03-07 08:35:16,322: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:35:16,322: INFO/Worker-2] 1258432641: finished strategy "conference-ordered-minyear"
[2016-03-07 08:35:16,323: INFO/Worker-2] found 42 author in the search set
[2016-03-07 08:35:16,323: INFO/Worker-2] authors: 42
[2016-03-07 08:35:17,035: INFO/Worker-2] authors: 52
[2016-03-07 08:37:36,418: INFO/Worker-2] found 21 journals in search set
[2016-03-07 08:37:41,408: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:37:41,408: INFO/Worker-2] 1258432641: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:37:41,763: INFO/Worker-2] 1829935768 author: set 16 publications
[2016-03-07 08:37:42,237: INFO/Worker-2] found 54 author in the search set
[2016-03-07 08:37:42,237: INFO/Worker-2] authors: 54
[2016-03-07 08:39:14,849: INFO/Worker-2] 1829935768: finished strategy "author-ordered"
[2016-03-07 08:39:14,850: INFO/Worker-2] found 54 author in the search set
[2016-03-07 08:39:14,850: INFO/Worker-2] authors: 54
[2016-03-07 08:39:15,152: INFO/Worker-2] 1829935768: finished strategy "author-ordered-minyear"
[2016-03-07 08:39:15,153: INFO/Worker-2] found 10 journals in search set
[2016-03-07 08:39:22,729: INFO/Worker-2] 1829935768: finished strategy "journal-ordered"
[2016-03-07 08:39:22,731: INFO/Worker-2] found 10 journals in search set
[2016-03-07 08:39:24,125: INFO/Worker-2] 1829935768: finished strategy "journal-ordered-minyear"
[2016-03-07 08:39:24,127: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:39:24,127: INFO/Worker-2] 1829935768: finished strategy "conference-ordered"
[2016-03-07 08:39:24,127: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:39:24,127: INFO/Worker-2] 1829935768: finished strategy "conference-ordered-minyear"
[2016-03-07 08:39:24,129: INFO/Worker-2] found 54 author in the search set
[2016-03-07 08:39:24,129: INFO/Worker-2] authors: 54
[2016-03-07 08:39:24,656: INFO/Worker-2] authors: 44
[2016-03-07 08:41:48,734: INFO/Worker-2] found 22 journals in search set
[2016-03-07 08:41:53,525: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:41:53,525: INFO/Worker-2] 1829935768: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-07 08:41:54,140: INFO/Worker-2] 129887099 author: set 30 publications
[2016-03-07 08:41:55,092: INFO/Worker-2] found 98 author in the search set
[2016-03-07 08:41:55,092: INFO/Worker-2] authors: 98
[2016-03-07 08:42:31,063: INFO/Worker-2] 129887099: finished strategy "author-ordered"
[2016-03-07 08:42:31,064: INFO/Worker-2] found 98 author in the search set
[2016-03-07 08:42:31,065: INFO/Worker-2] authors: 98
[2016-03-07 08:42:31,505: INFO/Worker-2] 129887099: finished strategy "author-ordered-minyear"
[2016-03-07 08:42:31,506: INFO/Worker-2] found 0 journals in search set
[2016-03-07 08:42:31,506: INFO/Worker-2] 129887099: finished strategy "journal-ordered"
[2016-03-07 08:42:31,506: INFO/Worker-2] found 0 journals in search set
[2016-03-07 08:42:31,507: INFO/Worker-2] 129887099: finished strategy "journal-ordered-minyear"
[2016-03-07 08:42:31,507: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:42:31,507: INFO/Worker-2] 129887099: finished strategy "conference-ordered"
[2016-03-07 08:42:31,508: INFO/Worker-2] found 0 conferences in search set
[2016-03-07 08:42:31,508: INFO/Worker-2] 129887099: finished strategy "conference-ordered-minyear"
[2016-03-07 08:42:31,510: INFO/Worker-2] found 98 author in the search set
[2016-03-07 08:42:31,510: INFO/Worker-2] authors: 98
[2016-03-07 08:42:32,022: INFO/Worker-2] authors: 11
[2016-03-07 08:42:34,400: INFO/Worker-2] found 0 journals in search set
[2016-03-07 08:42:34,401: INFO/Worker-2] found 0 conferences in search set
